Task	Species	Rep	ObservationID	Model	DisplayLabel	PlanScore	ToolScore	ParameterScore	RateScore	TotalScore
GWAS	Oryza_sativa	rep1	GWAS|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	17	16	13	6.25	52.25
GWAS	Oryza_sativa	rep2	GWAS|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	17	16	13	12.5	58.5
GWAS	Oryza_sativa	rep3	GWAS|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	17	16	13	6.25	52.25
GWAS	Oryza_sativa	rep4	GWAS|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	16	15	13	6.25	50.25
GWAS	Oryza_sativa	rep5	GWAS|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	16	15	12	6.25	49.25
Genomic selection	Oryza_sativa	rep1	Genomic selection|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	15	14	13	6.25	48.25
Genomic selection	Oryza_sativa	rep2	Genomic selection|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	14	14	13	6.25	47.25
Genomic selection	Oryza_sativa	rep3	Genomic selection|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	15	15	14	6.25	50.25
Genomic selection	Oryza_sativa	rep4	Genomic selection|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	14	14	15	6.25	49.25
Genomic selection	Oryza_sativa	rep5	Genomic selection|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	13	13	13	12.5	51.5
Single-cell analysis	Oryza_sativa	rep1	Single-cell analysis|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	22	22	19	6.25	69.25
Single-cell analysis	Oryza_sativa	rep2	Single-cell analysis|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	23	23	20	5	71
Single-cell analysis	Oryza_sativa	rep3	Single-cell analysis|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	21	21	18	5	65
Single-cell analysis	Oryza_sativa	rep4	Single-cell analysis|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	22	22	19	5	68
Single-cell analysis	Oryza_sativa	rep5	Single-cell analysis|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	22	22	19	5	68
Spatial transcriptomics	Oryza_sativa	rep1	Spatial transcriptomics|Oryza_sativa|rep1	Deepseek-V3	Deepseek-V3	21	20	19	6.25	66.25
Spatial transcriptomics	Oryza_sativa	rep2	Spatial transcriptomics|Oryza_sativa|rep2	Deepseek-V3	Deepseek-V3	21	20	19	6.25	66.25
Spatial transcriptomics	Oryza_sativa	rep3	Spatial transcriptomics|Oryza_sativa|rep3	Deepseek-V3	Deepseek-V3	21	20	19	6.25	66.25
Spatial transcriptomics	Oryza_sativa	rep4	Spatial transcriptomics|Oryza_sativa|rep4	Deepseek-V3	Deepseek-V3	20	19	18	5	62
Spatial transcriptomics	Oryza_sativa	rep5	Spatial transcriptomics|Oryza_sativa|rep5	Deepseek-V3	Deepseek-V3	21	20	19	6.25	66.25
Transcriptomics	Oryza_sativa	rep1	Transcriptomics|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	18	19	10	6.25	53.25
Transcriptomics	Oryza_sativa	rep2	Transcriptomics|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	18	19	11	5	53
Transcriptomics	Oryza_sativa	rep3	Transcriptomics|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	16	17	10	5	48
Transcriptomics	Oryza_sativa	rep4	Transcriptomics|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	17	18	10	6.25	51.25
Transcriptomics	Oryza_sativa	rep5	Transcriptomics|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	18	19	12	5	54
Proteomics	Oryza_sativa	rep1	Proteomics|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	18	18	13	6.25	55.25
Proteomics	Oryza_sativa	rep2	Proteomics|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	18	18	13	6.25	55.25
Proteomics	Oryza_sativa	rep3	Proteomics|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	18	19	14	6.25	57.25
Proteomics	Oryza_sativa	rep4	Proteomics|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	19	19	15	12.5	65.5
Proteomics	Oryza_sativa	rep5	Proteomics|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	18	18	13	18.75	67.75
Metabolomics	Oryza_sativa	rep1	Metabolomics|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	15	11	11	12.5	49.5
Metabolomics	Oryza_sativa	rep2	Metabolomics|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	16	12	12	6.25	46.25
Metabolomics	Oryza_sativa	rep3	Metabolomics|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	15	11	11	6.25	43.25
Metabolomics	Oryza_sativa	rep4	Metabolomics|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	17	14	13	12.5	56.5
Metabolomics	Oryza_sativa	rep5	Metabolomics|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	16	13	12	6.25	47.25
Evolutionary analysis	Oryza_sativa	rep1	Evolutionary analysis|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	19	19	16	6.25	60.25
Evolutionary analysis	Oryza_sativa	rep2	Evolutionary analysis|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	19	19	16	12.5	66.5
Evolutionary analysis	Oryza_sativa	rep3	Evolutionary analysis|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	18	18	14	6.25	56.25
Evolutionary analysis	Oryza_sativa	rep4	Evolutionary analysis|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	17	16	13	6.25	52.25
Evolutionary analysis	Oryza_sativa	rep5	Evolutionary analysis|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	18	18	14	12.5	62.5
Epigenomics	Oryza_sativa	rep1	Epigenomics|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	20	19	15	18.75	72.75
Epigenomics	Oryza_sativa	rep2	Epigenomics|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	18	18	14	18.75	68.75
Epigenomics	Oryza_sativa	rep3	Epigenomics|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	19	19	15	6.25	59.25
Epigenomics	Oryza_sativa	rep4	Epigenomics|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	17	17	13	15	62
Epigenomics	Oryza_sativa	rep5	Epigenomics|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	18	18	14	25	75
Variant calling	Oryza_sativa	rep1	Variant calling|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	19	21	17	15	72
Variant calling	Oryza_sativa	rep2	Variant calling|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	20	21	18	15	74
Variant calling	Oryza_sativa	rep3	Variant calling|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	18	17	17	10	62
Variant calling	Oryza_sativa	rep4	Variant calling|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	17	17	15	6.25	55.25
Variant calling	Oryza_sativa	rep5	Variant calling|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	21	21	18	15	75
GWAS	Oryza_sativa	rep1	GWAS|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	18	17	14	12.5	61.5
GWAS	Oryza_sativa	rep2	GWAS|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	18	17	14	10	59
GWAS	Oryza_sativa	rep3	GWAS|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	18	17	14	6.25	55.25
GWAS	Oryza_sativa	rep4	GWAS|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	17	16	13	12.5	58.5
GWAS	Oryza_sativa	rep5	GWAS|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	17	16	13	6.25	52.25
Genomic selection	Oryza_sativa	rep1	Genomic selection|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	16	12	12	12.5	52.5
Genomic selection	Oryza_sativa	rep2	Genomic selection|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	14	13	11	6.25	44.25
Genomic selection	Oryza_sativa	rep3	Genomic selection|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	13	14	11	12.5	50.5
Genomic selection	Oryza_sativa	rep4	Genomic selection|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	12	15	12	6.25	45.25
Genomic selection	Oryza_sativa	rep5	Genomic selection|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	12	11	13	6.25	42.25
Single-cell analysis	Oryza_sativa	rep1	Single-cell analysis|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	21	20	18	10	69
Single-cell analysis	Oryza_sativa	rep2	Single-cell analysis|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	21	20	18	5	64
Single-cell analysis	Oryza_sativa	rep3	Single-cell analysis|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	21	20	18	10	69
Single-cell analysis	Oryza_sativa	rep4	Single-cell analysis|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	21	20	18	25	84
Single-cell analysis	Oryza_sativa	rep5	Single-cell analysis|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	21	20	18	5	64
Spatial transcriptomics	Oryza_sativa	rep1	Spatial transcriptomics|Oryza_sativa|rep1	Deepseek-R1	Deepseek-R1	20	19	19	6.25	64.25
Spatial transcriptomics	Oryza_sativa	rep2	Spatial transcriptomics|Oryza_sativa|rep2	Deepseek-R1	Deepseek-R1	20	19	19	6.25	64.25
Spatial transcriptomics	Oryza_sativa	rep3	Spatial transcriptomics|Oryza_sativa|rep3	Deepseek-R1	Deepseek-R1	20	19	19	12.5	70.5
Spatial transcriptomics	Oryza_sativa	rep4	Spatial transcriptomics|Oryza_sativa|rep4	Deepseek-R1	Deepseek-R1	20	19	19	6.25	64.25
Spatial transcriptomics	Oryza_sativa	rep5	Spatial transcriptomics|Oryza_sativa|rep5	Deepseek-R1	Deepseek-R1	20	19	19	6.25	64.25
